"","roots","detritus","bacteria","fungi","Bacterivore.nematodes","Fungivore.nematodes","Herbivore.nematodes","Omnivore.nematodes","Predator.nematodes","Edaphic.Entomobryomorpha","Edaphic.Neelipleona","Edaphic.Poduromorpha","Epigeic.Entomobryomorpha","Epigeic.Poduromorpha","Epigeic.Symphypleona","Mesostigmata","Oribatida","Pauropoda","Prostigmata","Protura","Symphyla","Araneae","Chilopoda","Coleoptera","Diplopoda","Gastropoda","Hemiptera","Isopoda","Thysanoptera","Diptera.larvae"
"Edaphic.Neelipleona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168095796464857,0,0,0.0136066737426017,0,0.0122431412372573,5.71424647469963e-05,0.000312176001286608,0,0,0,0,0,0,6.76912190564456e-05
"Edaphic.Poduromorpha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516036727361954,0,0,0.00214263643026985,0,0.0130672178212864,0.000373532702931222,0.00388812715893403,0,0,0,0,0,0,0.00266931811010578
"Epigeic.Entomobryomorpha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339154505617709,0,0,0.000852758466583568,0,0.0070722485490902,0.000358904748525285,0.00431513192839205,0,0,0,0,0,0,0.00370503021055898
"Epigeic.Poduromorpha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000996992146516112,0,0,1.18739991002237e-05,0,0.000123310569259067,0.011354700168078,0.0536901080850591,0,0,0,0,0,0,0.0333752415392256
"Epigeic.Symphypleona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00837380106515196,0,0,0.0166155900638172,0,0.00327195513390494,3.00879350529224e-05,0.000105879672936398,0.0015383873132144,0,0,0,0,0,1.18968273573444e-05
"Mesostigmata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127514916381709,0,0,0.00701208559045757,0,0.00284303346284632,0.00202911102678273,0.00681193303248812,0.203455456158656,0,0,0,0,0,0.022407483867938
"Oribatida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292012384486619,0,0,0.000408223470169909,0,0.000365154335039949,0.00257819336948475,0.0114920610921296,0.20392174359816,0,0,0,0,0,0.0728585643148208
"Pauropoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042532449658537,0,0,0.0195432254561941,0,0.0367286104410527,7.40631275761099e-07,1.07890351670211e-05,0,0,0,0,0,0,5.27322942655856e-09
"Prostigmata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252243721222407,0,0,0.0627305444393964,0,0.0133225100615629,9.56742173602581e-05,0.000378466223527913,0.0462273963485289,0,0,0,0,0,0.000206455169487038
"Protura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453402718428534,0,0,0.00410241478757518,0,0.0145311842643546,0.00421234403229442,0.0201304750487095,0,0,0,0,0,0,0.0177576910436146
"Symphyla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575286529770275,0,0,0.00396757799353317,0,0.0176517709339276,0.000454933261402296,0.00381603086782524,0,0,0,0,0,0,0.00246474432077388
"Araneae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085705641145073,0.00813507415352983,0,0,0,0,0,0,7.89462384005064e-06
"Chilopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268076748996775,0,0,0,0,0,0,0.00115076724104546
"Coleoptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390127534790096,0.0713306152096833,0.287225280030597,0,0,0,0,0,0.119425708227906
"Diplopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0736031458140504,0.0447844554410808,0.00284300892144232,0,0,0,0,0,0.00296302171121291
"Gastropoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069964905188403,0.00103736530407238,1.34275359231667e-07,0,0,0,0,0,3.69106843643781e-20
"Hemiptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101543815470001,0.103568093153262,0.0289849227444551,0,0,0,0,0,0.0259620007917714
"Isopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213067661060749,0.0608126834823199,0.00248086042771633,0,0,0,0,0,0.000768380451098571
"Thysanoptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361703505382274,0.222203889925087,0.0769318042113211,0,0,0,0,0,0.0597549945254342
"Diptera.larvae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336386788090161,0.114330584962382,0.0100273696069133,0,0,0,0,0,0.00159352843646536
